Equipment Name;Equipment ID;Path Length;Lieu Path;ID Path
"Card A";100104;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.10>Box 4";"6676>6682>6684>6762>6909>6913"
"Card A";99977;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.05>Box 1 (AVT 108)";"6676>6682>6684>6762>6865>6894"
"Card A";99990;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.05>Box 2 (AVT 108)";"6676>6682>6684>6762>6865>6895"
"Card A";100003;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.05>Box 3 (AVT 108)";"6676>6682>6684>6762>6865>6896"
"Card A";100016;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.05>Box 4 (AVT 108)";"6676>6682>6684>6762>6865>6897"
"Card A";100029;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.05>Box 5 (AVT 108)";"6676>6682>6684>6762>6865>6898"
"Card A";100042;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.05>Box 6 (AVT 108)";"6676>6682>6684>6762>6865>6899"
"Card A";100056;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.05>Box 7 (AVT 108)";"6676>6682>6684>6762>6865>6900"
"Card A";100571;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.05>Box 8 (AVT 108)";"6676>6682>6684>6762>6865>7018"
"Card A";100584;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.05>Box 9 (AVT 108)";"6676>6682>6684>6762>6865>7019"
"Card A";99886;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.04>Box 1 (AVT 108)";"6676>6682>6684>6762>6864>6887"
"Card A";99899;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.04>Box 2 (AVT 108)";"6676>6682>6684>6762>6864>6888"
"Card A";99912;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.04>Box 3 (AVT 108)";"6676>6682>6684>6762>6864>6889"
"Card A";99925;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.04>Box 4 (AVT 108)";"6676>6682>6684>6762>6864>6890"
"Card A";99938;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.04>Box 5 (AVT 108)";"6676>6682>6684>6762>6864>6891"
"Card A";99951;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.04>Box 6 (AVT 108)";"6676>6682>6684>6762>6864>6892"
"Card A";99964;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.04>Box 7 (AVT 108)";"6676>6682>6684>6762>6864>6893"
"Card A";100531;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.04>Box 8 (AVT 108)";"6676>6682>6684>6762>6864>7015"
"Card A";100544;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.04>Box 9 (AVT 108)";"6676>6682>6684>6762>6864>7016"
"Card A";100557;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.04>Box 10 (BC 7202)";"6676>6682>6684>6762>6864>7017"
"Card A";99795;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.03>Box 1 (7202)";"6676>6682>6684>6762>6863>6880"
"Card A";99808;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.03>Box 2 (FUSION THRU 11202)";"6676>6682>6684>6762>6863>6881"
"Card A";99821;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.03>Box 3 (FUSION THRU 11202)";"6676>6682>6684>6762>6863>6882"
"Card A";101256;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Media Garden>Media Garden";"6676>6682>6684>7207>7256"
"Card A";100078;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.10>Box 1";"6676>6682>6684>6762>6909>6910"
